subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
blades,major repair,1,1,24,0,0,24
blades,major replacement,1,1,3,0,1,2
blades,minor repair,1,1,923,0,1,922
controls,major repair,1,1,114,0,0,114
controls,major replacement,1,1,5,0,3,2
controls,minor repair,1,1,674,0,0,674
electrical,major repair,1,1,29,0,0,29
electrical,major replacement,1,1,4,0,2,2
electrical,minor repair,1,1,757,0,0,757
gearbox,major repair,1,1,67,0,0,67
gearbox,major replacement,1,1,266,147,68,51
gearbox,minor repair,1,1,748,0,0,748
generator,major repair,1,1,613,1,1,611
generator,major replacement,1,1,118,36,47,35
generator,minor repair,1,1,904,0,0,904
heat_cool,major repair,1,1,5,0,0,5
heat_cool,minor repair,1,1,373,0,0,373
hub,major repair,1,1,66,0,0,66
hub,minor repair,1,1,349,0,0,349
main_bearing_failures,major repair,1,1,15,0,0,15
main_bearing_failures,major replacement,1,1,4,0,0,4
main_bearing_maintenance,minor scheduled repair,1,1,249,0,0,249
oil,major repair,1,1,11,0,0,11
oil,minor repair,1,1,838,0,0,838
other,major repair,1,1,96,0,0,96
other,major replacement,1,1,1,0,0,1
other,minor repair,1,1,1674,0,0,1674
pitch,major repair,1,1,313,0,0,313
pitch,major replacement,1,1,1,0,1,0
pitch,minor repair,1,1,1538,0,0,1538
power_supply,major repair,1,1,156,0,0,156
power_supply,major replacement,1,1,14,1,8,5
power_supply,minor repair,1,1,128,0,0,128
pump_motor,major repair,1,1,91,0,0,91
pump_motor,minor repair,1,1,544,0,0,544
relay,major repair,1,1,120,0,0,120
relay,major replacement,1,1,6,0,4,2
relay,minor repair,1,1,656,1,1,654
safety,major repair,1,1,8,0,0,8
safety,minor repair,1,1,734,0,0,734
sensors,major repair,1,1,143,0,0,143
sensors,minor repair,1,1,501,0,0,501
service_items,minor repair,1,1,229,0,0,229
tower_substructure,major repair,1,1,167,0,0,167
tower_substructure,minor repair,1,1,183,0,0,183
transformer,annual inspection,1,1,29,0,0,29
transformer,minor repair,1,1,5,0,0,5
xformer,major repair,1,1,5,0,0,5
xformer,minor repair,1,1,96,0,0,96
yaw,major repair,1,1,10,0,0,10
yaw,major replacement,1,1,4,0,1,3
yaw,minor repair,1,1,345,0,1,344
blades,major repair,2,2,19,0,0,19
blades,minor repair,2,2,865,0,0,865
controls,major repair,2,2,101,0,0,101
controls,major replacement,2,2,2,0,1,1
controls,minor repair,2,2,723,0,0,723
electrical,major repair,2,2,32,0,0,32
electrical,major replacement,2,2,8,0,4,4
electrical,minor repair,2,2,774,0,0,774
gearbox,major repair,2,2,69,0,0,69
gearbox,major replacement,2,2,298,168,72,58
gearbox,minor repair,2,2,733,0,0,733
generator,major repair,2,2,590,0,0,590
generator,major replacement,2,2,84,19,34,31
generator,minor repair,2,2,1012,0,0,1012
heat_cool,major repair,2,2,12,0,0,12
heat_cool,minor repair,2,2,382,0,0,382
hub,major repair,2,2,74,0,0,74
hub,major replacement,2,2,1,0,1,0
hub,minor repair,2,2,318,0,0,318
main_bearing_failures,major repair,2,2,17,0,0,17
main_bearing_failures,major replacement,2,2,4,0,1,3
main_bearing_maintenance,minor scheduled repair,2,2,259,0,0,259
oil,major repair,2,2,12,0,0,12
oil,minor repair,2,2,853,0,0,853
other,major repair,2,2,92,0,0,92
other,major replacement,2,2,3,0,1,2
other,minor repair,2,2,1619,0,0,1619
pitch,major repair,2,2,342,0,0,342
pitch,major replacement,2,2,1,0,1,0
pitch,minor repair,2,2,1534,0,0,1534
power_supply,major repair,2,2,172,0,0,172
power_supply,major replacement,2,2,10,0,5,5
power_supply,minor repair,2,2,134,0,0,134
pump_motor,major repair,2,2,80,0,0,80
pump_motor,minor repair,2,2,548,0,0,548
relay,major repair,2,2,104,0,0,104
relay,major replacement,2,2,5,0,2,3
relay,minor repair,2,2,654,0,0,654
safety,major repair,2,2,3,0,0,3
safety,minor repair,2,2,724,0,0,724
sensors,major repair,2,2,145,0,0,145
sensors,minor repair,2,2,490,0,1,489
service_items,major repair,2,2,1,0,0,1
service_items,minor repair,2,2,230,0,0,230
tower_substructure,major repair,2,2,189,0,0,189
tower_substructure,minor repair,2,2,175,0,0,175
transformer,annual inspection,2,2,29,0,0,29
transformer,minor repair,2,2,2,0,0,2
xformer,major repair,2,2,5,0,0,5
xformer,major replacement,2,2,3,0,2,1
xformer,minor repair,2,2,100,0,0,100
yaw,major repair,2,2,9,0,0,9
yaw,major replacement,2,2,3,0,2,1
yaw,minor repair,2,2,313,0,0,313
array cable,none,3,3,1,0,0,1
blades,major repair,3,3,16,0,0,16
blades,major replacement,3,3,1,0,1,0
blades,minor repair,3,3,893,0,0,893
controls,major repair,3,3,91,0,0,91
controls,major replacement,3,3,3,0,1,2
controls,minor repair,3,3,697,0,0,697
electrical,major repair,3,3,35,0,0,35
electrical,major replacement,3,3,6,0,3,3
electrical,minor repair,3,3,746,0,0,746
gearbox,major repair,3,3,64,0,0,64
gearbox,major replacement,3,3,301,172,71,58
gearbox,minor repair,3,3,774,1,0,773
generator,major repair,3,3,627,0,0,627
generator,major replacement,3,3,86,20,40,26
generator,minor repair,3,3,976,0,0,976
heat_cool,major repair,3,3,10,0,0,10
heat_cool,minor repair,3,3,350,0,0,350
hub,major repair,3,3,56,0,0,56
hub,major replacement,3,3,1,0,1,0
hub,minor repair,3,3,342,0,0,342
main_bearing_failures,major repair,3,3,21,0,0,21
main_bearing_failures,major replacement,3,3,3,0,0,3
main_bearing_maintenance,minor scheduled repair,3,3,252,0,0,252
oil,major repair,3,3,7,0,0,7
oil,minor repair,3,3,810,0,0,810
other,major repair,3,3,100,0,0,100
other,major replacement,3,3,2,0,2,0
other,minor repair,3,3,1714,0,0,1714
pitch,major repair,3,3,356,0,0,356
pitch,major replacement,3,3,1,0,1,0
pitch,minor repair,3,3,1606,0,0,1606
power_supply,major repair,3,3,164,0,0,164
power_supply,major replacement,3,3,4,0,3,1
power_supply,minor repair,3,3,168,0,0,168
pump_motor,major repair,3,3,83,0,0,83
pump_motor,minor repair,3,3,527,0,0,527
relay,major repair,3,3,112,0,0,112
relay,major replacement,3,3,5,0,3,2
relay,minor repair,3,3,701,0,0,701
safety,major repair,3,3,8,0,0,8
safety,minor repair,3,3,658,0,1,657
sensors,major repair,3,3,139,0,0,139
sensors,minor repair,3,3,519,0,0,519
service_items,minor repair,3,3,195,0,0,195
tower_substructure,major repair,3,3,161,0,0,161
tower_substructure,minor repair,3,3,164,0,0,164
transformer,annual inspection,3,3,29,0,0,29
transformer,minor repair,3,3,7,0,0,7
xformer,major repair,3,3,4,0,0,4
xformer,major replacement,3,3,1,0,0,1
xformer,minor repair,3,3,111,0,0,111
yaw,major repair,3,3,13,0,0,13
yaw,major replacement,3,3,3,0,1,2
yaw,minor repair,3,3,335,0,0,335
blades,major repair,4,4,27,0,0,27
blades,major replacement,4,4,1,0,1,0
blades,minor repair,4,4,876,0,0,876
controls,major repair,4,4,109,0,0,109
controls,major replacement,4,4,2,0,0,2
controls,minor repair,4,4,684,0,0,684
electrical,major repair,4,4,35,0,0,35
electrical,major replacement,4,4,6,1,3,2
electrical,minor repair,4,4,738,0,0,738
gearbox,major repair,4,4,57,0,0,57
gearbox,major replacement,4,4,268,136,75,57
gearbox,minor repair,4,4,751,1,0,750
generator,major repair,4,4,624,0,0,624
generator,major replacement,4,4,80,15,37,28
generator,minor repair,4,4,959,0,0,959
heat_cool,major repair,4,4,12,0,0,12
heat_cool,minor repair,4,4,365,0,0,365
hub,major repair,4,4,67,0,1,66
hub,major replacement,4,4,1,0,0,1
hub,minor repair,4,4,339,0,0,339
main_bearing_failures,major repair,4,4,14,0,0,14
main_bearing_failures,major replacement,4,4,3,0,0,3
main_bearing_maintenance,minor scheduled repair,4,4,249,0,0,249
oil,major repair,4,4,15,0,0,15
oil,minor repair,4,4,821,0,0,821
other,major repair,4,4,105,0,0,105
other,major replacement,4,4,1,0,1,0
other,minor repair,4,4,1700,0,0,1700
pitch,major repair,4,4,350,0,0,350
pitch,major replacement,4,4,2,0,0,2
pitch,minor repair,4,4,1641,0,0,1641
power_supply,major repair,4,4,162,0,0,162
power_supply,major replacement,4,4,7,0,3,4
power_supply,minor repair,4,4,134,0,0,134
pump_motor,major repair,4,4,86,0,0,86
pump_motor,minor repair,4,4,576,0,0,576
relay,major repair,4,4,125,0,0,125
relay,major replacement,4,4,3,0,2,1
